"File Name","Download Date",User,"First Name","Last Name",Affiliation,Study,"PCRC Member"
"DISC Data Repository - Study Summary Template.docx","05/12/2022 - 14:31",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"05/12/2022 - 13:58",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","05/12/2022 - 12:25",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"Study Summary - REST.pdf","05/12/2022 - 03:35",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"DISC Data Repository - Study Summary_Mack.docx","05/12/2022 - 01:58",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","05/11/2022 - 22:58",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"DISC Data Repository - Study Summary_Mack.docx","05/11/2022 - 17:19",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"DISC Data Repository - Study Summary Template.docx","05/11/2022 - 15:54",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","05/11/2022 - 11:54",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","05/11/2022 - 11:54",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"GOC - DISC Data Repository - Study Summary.docx","05/11/2022 - 11:54",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Study Summary Template.docx","05/11/2022 - 11:54",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"05/11/2022 - 11:54",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"Study Summary - Long 14-06p.docx","05/11/2022 - 11:53",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Study Summary_Mack.docx","05/11/2022 - 11:53",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","05/11/2022 - 11:53",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"Study Summary - PCDM.pdf","05/11/2022 - 11:53",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","05/11/2022 - 10:56",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","05/11/2022 - 06:40",Anonymous,,,,"Statin Discontinuation",
"Study Summary 14-09 Ferrell-protected.pdf","05/11/2022 - 00:11",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"Study Summary 14-09 Ferrell-protected.pdf","05/11/2022 - 00:11",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","05/10/2022 - 22:51",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","05/10/2022 - 18:45",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
StudySummary100819.docx,"05/10/2022 - 18:36",Anonymous,,,,"Testing PCforMe: a Web-Based Tool to Prepare Patients for Palliative Care",
"GOC - DISC Data Repository - Study Summary.docx","05/10/2022 - 18:20",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Study Summary.docx","05/10/2022 - 08:25",Anonymous,,,,"Refinement of a Prognostic Model for Patients with Metastatic Cancer",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","05/10/2022 - 06:20",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","05/10/2022 - 04:37",Anonymous,,,,"Statin Discontinuation",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","05/10/2022 - 04:31",Anonymous,,,,"Statin Discontinuation",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","05/10/2022 - 03:43",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
StudySummary100819.docx,"05/10/2022 - 01:13",Anonymous,,,,"Testing PCforMe: a Web-Based Tool to Prepare Patients for Palliative Care",
"DISC Data Repository - Study Summary.docx","05/09/2022 - 19:09",Anonymous,,,,"Refinement of a Prognostic Model for Patients with Metastatic Cancer",
"GOC - DISC Data Repository - Study Summary.docx","05/09/2022 - 14:22",Anonymous,,,,"Goals of Care",
StudySummary100819.docx,"05/09/2022 - 10:41",Anonymous,,,,"Testing PCforMe: a Web-Based Tool to Prepare Patients for Palliative Care",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","05/09/2022 - 06:34",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"Study Summary 14-09 Ferrell-protected.pdf","05/09/2022 - 06:02",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"Study Summary - PCDM.pdf","05/09/2022 - 05:46",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"Study Summary - PCDM.pdf","05/09/2022 - 00:10",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","05/08/2022 - 08:37",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"Study Summary 14-09 Ferrell-protected.pdf","05/08/2022 - 04:12",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"05/08/2022 - 02:08",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","05/08/2022 - 01:55",Anonymous,,,,"Statin Discontinuation",
"Study Summary - REST.pdf","05/07/2022 - 21:14",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","05/07/2022 - 19:22",Anonymous,,,,"Statin Discontinuation",
"DISC Data Repository - Study Summary_Mack.docx","05/07/2022 - 15:39",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"Ryan Nipp - DISC Data Repository - Study Summary Template.docx","05/07/2022 - 06:39",Anonymous,,,,"The Impact of Age on Early Palliative Care for Patients with Advanced Cancer",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","05/07/2022 - 04:20",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"Study Summary 14-09 Ferrell-protected.pdf","05/07/2022 - 03:33",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"Study Summary - REST.pdf","05/05/2022 - 22:09",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"Study Summary 14-09 Ferrell-protected.pdf","05/05/2022 - 18:06",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","05/05/2022 - 18:00",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary_Mack.docx","05/05/2022 - 12:40",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"05/05/2022 - 12:08",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"GOC - DISC Data Repository - Study Summary.docx","05/05/2022 - 12:08",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","05/05/2022 - 12:08",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"DISC Data Repository - Study Summary_Mack.docx","05/05/2022 - 10:31",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"Study Summary - PCDM.pdf","05/05/2022 - 10:31",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"DISC Data Repository - Study Summary Template.docx","05/05/2022 - 10:31",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"Study Summary - Long 14-06p.docx","05/05/2022 - 10:31",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Study Summary_Mack.docx","05/05/2022 - 10:31",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","05/05/2022 - 10:31",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","05/05/2022 - 10:31",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"GOC - DISC Data Repository - Study Summary.docx","05/05/2022 - 05:25",Anonymous,,,,"Goals of Care",
"Study Summary - PCDM.pdf","05/05/2022 - 02:33",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"DISC Data Repository - Study Summary Template.docx","05/05/2022 - 02:33",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","05/05/2022 - 02:33",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","05/05/2022 - 02:33",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"Study Summary - Long 14-06p.docx","05/05/2022 - 02:33",Anonymous,,,,"Family Experiences in ICU Transfers",
"GOC - DISC Data Repository - Study Summary.docx","05/05/2022 - 02:33",Anonymous,,,,"Goals of Care",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"05/05/2022 - 02:33",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","05/05/2022 - 02:33",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","05/04/2022 - 14:59",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"Study Summary 14-09 Ferrell-protected.pdf","05/04/2022 - 04:58",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"DISC Data Repository - Study Summary Template.docx","05/04/2022 - 00:44",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"Study Summary - Long 14-06p.docx","05/03/2022 - 19:38",Anonymous,,,,"Family Experiences in ICU Transfers",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","05/03/2022 - 19:00",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","05/03/2022 - 05:20",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"Study Summary - REST.pdf","05/03/2022 - 05:19",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"Study Summary - REST.pdf","05/03/2022 - 00:10",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"Study Summary - PCDM.pdf","05/02/2022 - 10:49",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"DISC Data Repository - Study Summary_Mack.docx","05/02/2022 - 08:50",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"05/02/2022 - 08:30",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"DISC Data Repository - Study Summary Template.docx","05/01/2022 - 20:23",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"Study Summary - Long 14-06p.docx","05/01/2022 - 15:00",Anonymous,,,,"Family Experiences in ICU Transfers",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","05/01/2022 - 14:52",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"Study Summary 14-09 Ferrell-protected.pdf","05/01/2022 - 14:23",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"Study Summary - REST.pdf","05/01/2022 - 10:39",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"Study Summary - Long 14-06p.docx","05/01/2022 - 08:21",Anonymous,,,,"Family Experiences in ICU Transfers",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","05/01/2022 - 07:34",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","04/30/2022 - 09:33",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"Study Summary - Long 14-06p.docx","04/30/2022 - 06:59",Anonymous,,,,"Family Experiences in ICU Transfers",
"Study Summary 14-09 Ferrell-protected.pdf","04/30/2022 - 05:50",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"Study Summary 14-09 Ferrell-protected.pdf","04/30/2022 - 04:17",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"Study Summary 14-09 Ferrell-protected.pdf","04/30/2022 - 04:17",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"Study Summary - PCDM.pdf","04/30/2022 - 01:39",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"Study Summary - Long 14-06p.docx","04/29/2022 - 23:16",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","04/29/2022 - 23:16",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"DISC Data Repository - Study Summary Template.docx","04/29/2022 - 23:16",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","04/29/2022 - 23:15",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary_Mack.docx","04/29/2022 - 23:15",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","04/29/2022 - 23:09",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","04/29/2022 - 23:08",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","04/29/2022 - 21:10",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"DISC Data Repository - Study Summary Template.docx","04/29/2022 - 15:52",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"Study Summary - Long 14-06p.docx","04/29/2022 - 10:29",Anonymous,,,,"Family Experiences in ICU Transfers",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","04/29/2022 - 10:02",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"Study Summary - Long 14-06p.docx","04/28/2022 - 23:09",Anonymous,,,,"Family Experiences in ICU Transfers",
"Ryan Nipp - DISC Data Repository - Study Summary Template.docx","04/27/2022 - 23:44",Anonymous,,,,"The Impact of Age on Early Palliative Care for Patients with Advanced Cancer",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","04/27/2022 - 23:07",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary_Mack.docx","04/27/2022 - 18:51",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"DISC Data Repository - Study Summary Template.docx","04/27/2022 - 11:31",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"DISC Data Repository - Study Summary Template.docx","04/27/2022 - 04:07",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"Study Summary - PCDM.pdf","04/26/2022 - 10:35",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"04/26/2022 - 10:22",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","04/26/2022 - 05:29",Anonymous,,,,"Statin Discontinuation",
"DISC Data Repository - Study Summary_Mack.docx","04/26/2022 - 00:47",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","04/25/2022 - 18:03",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","04/25/2022 - 18:03",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"GOC - DISC Data Repository - Study Summary.docx","04/25/2022 - 18:03",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Study Summary Template.docx","04/25/2022 - 18:03",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"04/25/2022 - 18:03",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"Study Summary - Long 14-06p.docx","04/25/2022 - 18:03",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Study Summary_Mack.docx","04/25/2022 - 18:03",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","04/25/2022 - 18:02",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"Study Summary - PCDM.pdf","04/25/2022 - 18:02",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"Study Summary 14-09 Ferrell-protected.pdf","04/25/2022 - 16:50",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"Ryan Nipp - DISC Data Repository - Study Summary Template.docx","04/25/2022 - 16:43",Anonymous,,,,"The Impact of Age on Early Palliative Care for Patients with Advanced Cancer",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","04/25/2022 - 14:20",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","04/25/2022 - 14:20",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"GOC - DISC Data Repository - Study Summary.docx","04/25/2022 - 14:20",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Study Summary Template.docx","04/25/2022 - 14:20",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"04/25/2022 - 14:20",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"Study Summary - Long 14-06p.docx","04/25/2022 - 14:19",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Study Summary_Mack.docx","04/25/2022 - 14:19",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","04/25/2022 - 14:19",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"Study Summary - PCDM.pdf","04/25/2022 - 14:19",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","04/25/2022 - 13:42",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","04/25/2022 - 12:21",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"DISC Data Repository - Study Summary Template.docx","04/25/2022 - 07:28",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","04/25/2022 - 04:19",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","04/25/2022 - 04:19",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"GOC - DISC Data Repository - Study Summary.docx","04/25/2022 - 04:18",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Study Summary Template.docx","04/25/2022 - 04:17",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"04/25/2022 - 04:16",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"Study Summary - Long 14-06p.docx","04/25/2022 - 04:16",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Study Summary_Mack.docx","04/25/2022 - 04:15",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","04/25/2022 - 04:14",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"Study Summary - PCDM.pdf","04/25/2022 - 04:13",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","04/25/2022 - 00:49",Anonymous,,,,"Statin Discontinuation",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","04/25/2022 - 00:44",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"GOC - DISC Data Repository - Study Summary.docx","04/24/2022 - 12:53",Anonymous,,,,"Goals of Care",
"PCRC - DISC Data Repository - Study Summary Template_Bauman.docx","04/24/2022 - 07:35",Anonymous,,,,"A Collaborative Palliative and Oncology Care Intervention to Improve Symptoms and Coping During Treatment for Head and Neck Cancer",
"DISC Data Repository - Study Summary_Mack.docx","04/24/2022 - 07:35",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"Study Summary - Long 14-06p.docx","04/24/2022 - 07:35",Anonymous,,,,"Family Experiences in ICU Transfers",
"DISC Data Repository - Study Summary Portz 2021-6-23.docx","04/24/2022 - 07:35",Anonymous,,,,"Examining the Utility of Patient Portals in the Setting of Serious Illness and End of Life",
"DISC Data Repository - Study Summary Template.docx","04/24/2022 - 07:35",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"GOC - DISC Data Repository - Study Summary.docx","04/24/2022 - 07:35",Anonymous,,,,"Goals of Care",
"Study Summary - PCDM.pdf","04/24/2022 - 07:35",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","04/24/2022 - 07:35",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"04/24/2022 - 07:35",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"DISC Data Repository - Study Summary.docx","04/24/2022 - 01:48",Anonymous,,,,"Refinement of a Prognostic Model for Patients with Metastatic Cancer",
"DISC Data Repository - Study Summary Template.docx","04/23/2022 - 19:27",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"Study Summary - REST.pdf","04/23/2022 - 10:32",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"DISC Data Repository - Ghesquiere Study Summary Template 20190622.docx","04/22/2022 - 01:10",Anonymous,,,,"Hospice Bereavement Service Delivery to Family Members and Friends With Bereavement-Related Mental Health Symptoms",
"GOC - DISC Data Repository - Study Summary.docx","04/21/2022 - 08:56",Anonymous,,,,"Goals of Care",
"Study Summary - PCDM.pdf","04/21/2022 - 08:28",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
"Study Summary - REST.pdf","04/20/2022 - 02:10",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"Study Summary - REST.pdf","04/20/2022 - 00:30",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"Study Summary 14-09 Ferrell-protected.pdf","04/19/2022 - 22:31",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"GOC - DISC Data Repository - Study Summary.docx","04/19/2022 - 17:01",Anonymous,,,,"Goals of Care",
"DISC Data Repository - Study Summary_Mack.docx","04/19/2022 - 02:37",Anonymous,,,,"Barriers to Hospice and Palliative Care Utilization",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","04/17/2022 - 20:15",Anonymous,,,,"Statin Discontinuation",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","04/17/2022 - 08:11",Anonymous,,,,"Statin Discontinuation",
StudySummary100819.docx,"04/17/2022 - 07:59",Anonymous,,,,"Testing PCforMe: a Web-Based Tool to Prepare Patients for Palliative Care",
"DISC Data Repository - Study Summary.docx","04/17/2022 - 07:59",Anonymous,,,,"Refinement of a Prognostic Model for Patients with Metastatic Cancer",
"Ryan Nipp - DISC Data Repository - Study Summary Template.docx","04/17/2022 - 07:59",Anonymous,,,,"The Impact of Age on Early Palliative Care for Patients with Advanced Cancer",
"Study Summary - REST.pdf","04/17/2022 - 07:59",Anonymous,,,,"Reducing End-of-Life Symptoms with Touch (REST)",
"Study Summary 14-09 Ferrell-protected.pdf","04/17/2022 - 07:59",Anonymous,,,,"Translation of a Lung Cancer Palliative Care Intervention for Clinical Practice",
"Study Summary 10-01-StatinDiscontinuationRCT.pdf","04/17/2022 - 07:59",Anonymous,,,,"Statin Discontinuation",
"DISC Data Repository - Study Summary Template.docx","04/16/2022 - 07:01",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
DISC_Data_Repository_-_Study_Summary_3.26.20.docx,"04/16/2022 - 06:39",Anonymous,,,,"Psychological Intervention for Caregivers of Patients with Malignant GIiomas",
"DISC Data Repository - Study Summary Template.docx","04/16/2022 - 06:39",Anonymous,,,,"Culturally Sensitive End-Of-Life Care Intervention",
"GOC - DISC Data Repository - Study Summary.docx","04/16/2022 - 06:21",Anonymous,,,,"Goals of Care",
"Study Summary - PCDM.pdf","04/16/2022 - 06:20",Anonymous,,,,"Patient-Centered Disease Management for Heart Failure (PCDM)",
